wstd,lr_vanilla,lr_momentum,lr_rmsprop,reg,accuracy
0.01000,0.00013,nan,nan,0.00009,34.92000
0.01000,0.00015,nan,nan,0.00009,33.84000
0.01000,0.00017,nan,nan,0.00009,33.44000
0.01000,0.00019,nan,nan,0.00009,34.68000
0.01000,0.00021,nan,nan,0.00009,33.40000
0.01000,0.00023,nan,nan,0.00009,35.64000
0.01000,0.00026,nan,nan,0.00009,34.64000
0.01000,0.00028,nan,nan,0.00009,33.24000
0.01000,0.00030,nan,nan,0.00009,36.20000
0.01000,0.00032,nan,nan,0.00009,35.40000
0.01000,0.00034,nan,nan,0.00009,34.32000
0.01000,0.00036,nan,nan,0.00009,34.24000
0.01000,0.00038,nan,nan,0.00009,34.76000
0.01000,0.00040,nan,nan,0.00009,33.40000
0.01000,0.00042,nan,nan,0.00009,34.68000
0.01000,0.00044,nan,nan,0.00009,34.36000
0.01000,0.00046,nan,nan,0.00009,32.76000
0.01000,0.00048,nan,nan,0.00009,34.80000
0.01000,0.00050,nan,nan,0.00009,33.28000
0.01000,0.00001,nan,nan,0.00011,23.60000
0.01000,0.00003,nan,nan,0.00011,28.28000
0.01000,0.00005,nan,nan,0.00011,31.00000
0.01000,0.00007,nan,nan,0.00011,31.44000
0.01000,0.00009,nan,nan,0.00011,31.00000
0.01000,0.00011,nan,nan,0.00011,34.08000
0.01000,0.00013,nan,nan,0.00011,35.64000
0.01000,0.00015,nan,nan,0.00011,34.32000
0.01000,0.00017,nan,nan,0.00011,32.68000
0.01000,0.00019,nan,nan,0.00011,34.52000
0.01000,0.00021,nan,nan,0.00011,33.52000
0.01000,0.00023,nan,nan,0.00011,34.64000
0.01000,0.00026,nan,nan,0.00011,34.72000
0.01000,0.00028,nan,nan,0.00011,34.60000
0.01000,0.00030,nan,nan,0.00011,34.80000
0.01000,0.00032,nan,nan,0.00011,35.12000
0.01000,0.00034,nan,nan,0.00011,34.84000
0.01000,0.00036,nan,nan,0.00011,35.96000
0.01000,0.00038,nan,nan,0.00011,35.48000
0.01000,0.00040,nan,nan,0.00011,34.84000
0.01000,0.00042,nan,nan,0.00011,35.84000
0.01000,0.00044,nan,nan,0.00011,33.32000
0.01000,0.00046,nan,nan,0.00011,34.76000
0.01000,0.00048,nan,nan,0.00011,32.72000
0.01000,0.00050,nan,nan,0.00011,35.68000
0.01000,0.00001,nan,nan,0.00012,23.56000
0.01000,0.00003,nan,nan,0.00012,28.52000
0.01000,0.00005,nan,nan,0.00012,30.44000
0.01000,0.00007,nan,nan,0.00012,31.64000
0.01000,0.00009,nan,nan,0.00012,33.52000
0.01000,0.00011,nan,nan,0.00012,33.88000
0.01000,0.00013,nan,nan,0.00012,33.84000
0.01000,0.00015,nan,nan,0.00012,35.16000
0.01000,0.00017,nan,nan,0.00012,33.48000
0.01000,0.00019,nan,nan,0.00012,33.56000
0.01000,0.00021,nan,nan,0.00012,32.40000
0.01000,0.00023,nan,nan,0.00012,34.00000
0.01000,0.00026,nan,nan,0.00012,33.88000
0.01000,0.00028,nan,nan,0.00012,33.80000
0.01000,0.00030,nan,nan,0.00012,34.56000
0.01000,0.00032,nan,nan,0.00012,34.92000
0.01000,0.00034,nan,nan,0.00012,31.48000
0.01000,0.00036,nan,nan,0.00012,36.48000
0.01000,0.00038,nan,nan,0.00012,33.44000
0.01000,0.00040,nan,nan,0.00012,34.80000
0.01000,0.00042,nan,nan,0.00012,34.88000
0.01000,0.00044,nan,nan,0.00012,35.52000
0.01000,0.00046,nan,nan,0.00012,35.44000
0.01000,0.00048,nan,nan,0.00012,33.12000
0.01000,0.00050,nan,nan,0.00012,33.48000
0.01000,0.00001,nan,nan,0.00014,23.56000
0.01000,0.00003,nan,nan,0.00014,28.56000
0.01000,0.00005,nan,nan,0.00014,30.72000
0.01000,0.00007,nan,nan,0.00014,31.68000
0.01000,0.00009,nan,nan,0.00014,31.96000
0.01000,0.00011,nan,nan,0.00014,33.88000
0.01000,0.00013,nan,nan,0.00014,34.12000
0.01000,0.00015,nan,nan,0.00014,35.28000
0.01000,0.00017,nan,nan,0.00014,33.68000
0.01000,0.00019,nan,nan,0.00014,34.92000
0.01000,0.00021,nan,nan,0.00014,33.24000
0.01000,0.00023,nan,nan,0.00014,33.24000
0.01000,0.00026,nan,nan,0.00014,34.68000
0.01000,0.00028,nan,nan,0.00014,35.88000
0.01000,0.00030,nan,nan,0.00014,35.48000
0.01000,0.00032,nan,nan,0.00014,34.60000
0.01000,0.00034,nan,nan,0.00014,35.72000
0.01000,0.00036,nan,nan,0.00014,36.20000
0.01000,0.00038,nan,nan,0.00014,34.24000
0.01000,0.00040,nan,nan,0.00014,35.40000
0.01000,0.00042,nan,nan,0.00014,34.44000
0.01000,0.00044,nan,nan,0.00014,36.36000
0.01000,0.00046,nan,nan,0.00014,34.56000
0.01000,0.00048,nan,nan,0.00014,34.40000
0.01000,0.00050,nan,nan,0.00014,34.08000
0.01000,0.00001,nan,nan,0.00016,23.68000
